band,setting_freq,setting_gain,setting_q,freq_hz,db
hpf,80,0,0,5728.79,-0.0017
hpf,80,0,0,5931.08,-0.0016
hpf,80,0,0,6140.52,-0.0015
hpf,80,0,0,6357.36,-0.0014
hpf,80,0,0,6581.85,-0.0013
hpf,80,0,0,6814.27,-0.0012
hpf,80,0,0,7054.90,-0.0011
hpf,80,0,0,7304.03,-0.0010
hpf,80,0,0,7561.95,-0.0010
hpf,80,0,0,7828.98,-0.0009
hpf,80,0,0,8105.44,-0.0008
hpf,80,0,0,8391.66,-0.0008
hpf,80,0,0,8687.99,-0.0007
hpf,80,0,0,8994.78,-0.0007
hpf,80,0,0,9312.41,-0.0006
hpf,80,0,0,9641.25,-0.0006
